100%|██████████| 1000/1000 [14:39<00:00,  1.14it/s]

============================================================
🔶 SPARSE TRAINING
============================================================
Config: 2L×128D×4H, L0=0.1
wandb: WARNING Calling wandb.login() after wandb.init() has no effect.
wandb: wandb.init() called while a run is active and reinit is set to 'default', so returning the previous run.
Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Initial nonzero: 421,219 (99.76%)
Training for 10000 steps (~1000 epochs)
Epoch 290: val_loss=4.6017, val_acc=0.0074
Epoch 291: val_loss=4.6017, val_acc=0.0079
Epoch 292: val_loss=4.6009, val_acc=0.0081
Epoch 293: val_loss=4.6006, val_acc=0.0062
Epoch 294: val_loss=4.6004, val_acc=0.0057
Epoch 295: val_loss=4.6013, val_acc=0.0068
Epoch 296: val_loss=4.6016, val_acc=0.0074
Epoch 297: val_loss=4.6005, val_acc=0.0055
Epoch 298: val_loss=4.6004, val_acc=0.0049
Epoch 299: val_loss=4.6003, val_acc=0.0060
Epoch 300: val_loss=4.5998, val_acc=0.0060
Epoch 301: val_loss=4.5995, val_acc=0.0081
Epoch 302: val_loss=4.5996, val_acc=0.0068
Epoch 303: val_loss=4.5997, val_acc=0.0062
Epoch 304: val_loss=4.5992, val_acc=0.0072
Epoch 305: val_loss=4.5989, val_acc=0.0068
Epoch 306: val_loss=4.6029, val_acc=0.0081
Epoch 307: val_loss=4.6022, val_acc=0.0074
Epoch 308: val_loss=4.6090, val_acc=0.0085
Epoch 309: val_loss=4.6084, val_acc=0.0085
Epoch 310: val_loss=4.6071, val_acc=0.0085
Epoch 311: val_loss=4.6060, val_acc=0.0087
Epoch 312: val_loss=4.6057, val_acc=0.0089
Epoch 313: val_loss=4.6048, val_acc=0.0102
Epoch 314: val_loss=4.6037, val_acc=0.0098
Epoch 315: val_loss=4.6033, val_acc=0.0100
Epoch 316: val_loss=4.6036, val_acc=0.0081
Epoch 317: val_loss=4.6031, val_acc=0.0085
Epoch 318: val_loss=4.6027, val_acc=0.0079
Epoch 319: val_loss=4.6015, val_acc=0.0081
