Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Epoch 354: val_loss=4.5983, val_acc=0.0064
Epoch 355: val_loss=4.5983, val_acc=0.0074
Epoch 356: val_loss=4.5985, val_acc=0.0072
Epoch 357: val_loss=4.5985, val_acc=0.0077
Epoch 358: val_loss=4.5985, val_acc=0.0070
Epoch 359: val_loss=4.5985, val_acc=0.0062
Epoch 360: val_loss=4.5986, val_acc=0.0070
Epoch 361: val_loss=4.5986, val_acc=0.0068
Epoch 362: val_loss=4.5986, val_acc=0.0070
Epoch 363: val_loss=4.5987, val_acc=0.0068
Epoch 364: val_loss=4.5987, val_acc=0.0066
Epoch 365: val_loss=4.5986, val_acc=0.0068
Epoch 366: val_loss=4.5985, val_acc=0.0072
Epoch 367: val_loss=4.5984, val_acc=0.0070
Epoch 368: val_loss=4.5983, val_acc=0.0064
Epoch 369: val_loss=4.5982, val_acc=0.0068
Epoch 370: val_loss=4.5983, val_acc=0.0070
Epoch 371: val_loss=4.5983, val_acc=0.0074
Epoch 372: val_loss=4.5982, val_acc=0.0070
Epoch 373: val_loss=4.5982, val_acc=0.0070
Epoch 374: val_loss=4.5982, val_acc=0.0070
Epoch 375: val_loss=4.5982, val_acc=0.0072
Epoch 376: val_loss=4.5982, val_acc=0.0072
Epoch 377: val_loss=4.5982, val_acc=0.0077
Epoch 378: val_loss=4.5982, val_acc=0.0074
Epoch 379: val_loss=4.5980, val_acc=0.0074
Epoch 380: val_loss=4.5980, val_acc=0.0074
Epoch 381: val_loss=4.5981, val_acc=0.0077
Epoch 382: val_loss=4.5982, val_acc=0.0079
Epoch 383: val_loss=4.5982, val_acc=0.0083
Epoch 384: val_loss=4.5982, val_acc=0.0068
Epoch 385: val_loss=4.5982, val_acc=0.0066
Epoch 386: val_loss=4.5982, val_acc=0.0068
Epoch 387: val_loss=4.5982, val_acc=0.0068
Epoch 388: val_loss=4.5982, val_acc=0.0066
Epoch 389: val_loss=4.5981, val_acc=0.0074
Epoch 390: val_loss=4.5981, val_acc=0.0074
Epoch 391: val_loss=4.5981, val_acc=0.0072
Epoch 392: val_loss=4.5980, val_acc=0.0072
Epoch 393: val_loss=4.5980, val_acc=0.0079
Epoch 394: val_loss=4.5980, val_acc=0.0074
Epoch 395: val_loss=4.5981, val_acc=0.0070
Epoch 396: val_loss=4.5980, val_acc=0.0068
Epoch 397: val_loss=4.5979, val_acc=0.0072
Epoch 398: val_loss=4.5979, val_acc=0.0066
Epoch 399: val_loss=4.5979, val_acc=0.0068
Epoch 400: val_loss=4.5978, val_acc=0.0072
Epoch 401: val_loss=4.5978, val_acc=0.0072
Epoch 402: val_loss=4.5978, val_acc=0.0068
Epoch 403: val_loss=4.5978, val_acc=0.0066
Epoch 404: val_loss=4.5978, val_acc=0.0072
Epoch 405: val_loss=4.5977, val_acc=0.0074
Epoch 406: val_loss=4.5977, val_acc=0.0070
Epoch 407: val_loss=4.5977, val_acc=0.0064
Epoch 408: val_loss=4.5977, val_acc=0.0074
Epoch 409: val_loss=4.5976, val_acc=0.0064
Epoch 410: val_loss=4.5977, val_acc=0.0070
Epoch 411: val_loss=4.5976, val_acc=0.0068
Epoch 412: val_loss=4.5975, val_acc=0.0072
Epoch 413: val_loss=4.5974, val_acc=0.0074
Epoch 414: val_loss=4.5974, val_acc=0.0068
Epoch 415: val_loss=4.5973, val_acc=0.0072
Epoch 416: val_loss=4.5973, val_acc=0.0070
Epoch 417: val_loss=4.5972, val_acc=0.0070
Epoch 418: val_loss=4.5973, val_acc=0.0074
Epoch 419: val_loss=4.5974, val_acc=0.0070
Epoch 420: val_loss=4.5974, val_acc=0.0077
Epoch 421: val_loss=4.5974, val_acc=0.0072
Epoch 422: val_loss=4.5975, val_acc=0.0072
Epoch 423: val_loss=4.5975, val_acc=0.0072
Epoch 424: val_loss=4.5974, val_acc=0.0072
Epoch 425: val_loss=4.5974, val_acc=0.0070
Epoch 426: val_loss=4.5974, val_acc=0.0070
Epoch 427: val_loss=4.5973, val_acc=0.0066
Epoch 428: val_loss=4.5973, val_acc=0.0064
Epoch 429: val_loss=4.5973, val_acc=0.0066
Epoch 430: val_loss=4.5974, val_acc=0.0062
Epoch 431: val_loss=4.5974, val_acc=0.0066
Epoch 432: val_loss=4.5974, val_acc=0.0066
Epoch 433: val_loss=4.5974, val_acc=0.0072
Epoch 434: val_loss=4.5974, val_acc=0.0072
Epoch 435: val_loss=4.5975, val_acc=0.0068
Epoch 436: val_loss=4.5975, val_acc=0.0068
Epoch 437: val_loss=4.5976, val_acc=0.0068
Epoch 438: val_loss=4.5977, val_acc=0.0066
Epoch 439: val_loss=4.5977, val_acc=0.0068
Epoch 440: val_loss=4.5976, val_acc=0.0066
Epoch 441: val_loss=4.5976, val_acc=0.0070
Epoch 442: val_loss=4.5976, val_acc=0.0074
Epoch 443: val_loss=4.5976, val_acc=0.0072
Epoch 444: val_loss=4.5975, val_acc=0.0068
Epoch 445: val_loss=4.5975, val_acc=0.0070
Epoch 446: val_loss=4.5974, val_acc=0.0074
Epoch 447: val_loss=4.5974, val_acc=0.0072
Epoch 448: val_loss=4.5974, val_acc=0.0070
Epoch 449: val_loss=4.5974, val_acc=0.0068
Epoch 450: val_loss=4.5973, val_acc=0.0066
Epoch 451: val_loss=4.5973, val_acc=0.0072
Epoch 452: val_loss=4.5973, val_acc=0.0070
Epoch 453: val_loss=4.5973, val_acc=0.0066
Epoch 454: val_loss=4.5973, val_acc=0.0066
Epoch 455: val_loss=4.5973, val_acc=0.0064
Epoch 456: val_loss=4.5973, val_acc=0.0066
Epoch 457: val_loss=4.5973, val_acc=0.0070
Epoch 458: val_loss=4.5972, val_acc=0.0066
Epoch 459: val_loss=4.5972, val_acc=0.0068
Epoch 460: val_loss=4.5972, val_acc=0.0066
Epoch 461: val_loss=4.5972, val_acc=0.0068
Epoch 462: val_loss=4.5971, val_acc=0.0062
Epoch 463: val_loss=4.5971, val_acc=0.0057
Epoch 464: val_loss=4.5971, val_acc=0.0053
Epoch 465: val_loss=4.5972, val_acc=0.0057
Epoch 466: val_loss=4.5972, val_acc=0.0057
Epoch 467: val_loss=4.5973, val_acc=0.0060
Epoch 468: val_loss=4.5972, val_acc=0.0062
Epoch 469: val_loss=4.5972, val_acc=0.0060
Epoch 470: val_loss=4.5972, val_acc=0.0055
Epoch 471: val_loss=4.5972, val_acc=0.0057
Epoch 472: val_loss=4.5971, val_acc=0.0055
Epoch 473: val_loss=4.5970, val_acc=0.0057
